itemclass,section,itemgroup,department,a_name,retailprice,costprice,peices,status,itemean,barcode,producerno
1,1,13,1303,حليب بخيره كيس 500 مل,20.0,16.0,1,1,00003564,622300356400,39
1,1,13,1303,حليب بخيره كيس 500 مل - كرتونة 24,456.0,384.0,24,1,00003564,622300356424,39
1,2,20,2001,أرز الضحى حبة عريضة 1 كجم,38.0,32.0,1,1,00003565,622300356500,9
1,2,20,2001,أرز الضحى حبة عريضة 1 كجم - كرتونة 12,433.2,384.0,12,1,00003565,622300356512,9
1,2,20,2001,أرز الساعة 5 كجم,180.0,150.0,1,1,00003566,622300356600,10
1,2,20,2001,أرز الساعة 5 كجم - كرتونة 6,1026.0,900.0,6,1,00003566,622300356606,10
1,2,20,2001,أرز المطبخ 1 كجم,34.0,29.0,1,1,00003567,622300356700,5
1,2,20,2001,أرز المطبخ 1 كجم - كرتونة 24,775.2,696.0,24,1,00003567,622300356724,5
1,2,20,2001,أرز زمزم بسمتي هندي 1 كجم,105.0,85.0,1,1,00003568,622300356800,15
1,2,20,2001,أرز زمزم بسمتي هندي 1 كجم - كرتونة 24,2394.0,2040.0,24,1,00003568,622300356824,15
1,2,20,2002,مكرونة الملكة مرمرية 400جم,14.0,11.0,1,1,00003569,622300356900,14
1,2,20,2002,مكرونة الملكة مرمرية 400جم - كرتونة 6,79.8,66.0,6,1,00003569,622300356906,14
1,2,20,2002,مكرونة إيطاليانو قلم 400جم,20.0,16.0,1,1,00003570,622300357000,3
1,2,20,2002,مكرونة إيطاليانو قلم 400جم - كرتونة 6,114.0,96.0,6,1,00003570,622300357006,3
1,2,20,2002,مكرونة حواء اسباجتي 500جم,17.5,14.0,1,1,00003571,622300357100,26
1,2,20,2002,مكرونة حواء اسباجتي 500جم - كرتونة 24,399.0,336.0,24,1,00003571,622300357124,26
1,2,20,2002,مكرونة ريجينا فيونكة 400جم,23.0,18.0,1,1,00003572,622300357200,4
1,2,20,2002,مكرونة ريجينا فيونكة 400جم - كرتونة 6,131.1,108.0,6,1,00003572,622300357206,4
1,2,21,2102,زيت عافية ذرة 800 مل,88.0,75.0,1,1,00003573,622300357300,39
1,2,21,2102,زيت عافية ذرة 800 مل - كرتونة 24,2006.4,1800.0,24,1,00003573,622300357324,39
1,2,21,2102,زيت كريستال عباد 1.6 لتر,155.0,135.0,1,1,00003574,622300357400,2
1,2,21,2102,زيت كريستال عباد 1.6 لتر - كرتونة 6,883.5,810.0,6,1,00003574,622300357406,2
1,2,21,2102,زيت قلية خليط 700 مل,55.0,45.0,1,1,00003575,622300357500,39
1,2,21,2102,زيت قلية خليط 700 مل - كرتونة 24,1254.0,1080.0,24,1,00003575,622300357524,39
1,2,21,2102,زيت سلايت ذرة 2.25 لتر,245.0,210.0,1,1,00003576,622300357600,23
1,2,21,2102,زيت سلايت ذرة 2.25 لتر - كرتونة 6,1396.5,1260.0,6,1,00003576,622300357606,23
1,2,22,2201,تونة صن شاين قطع 185جم,65.0,50.0,1,1,00003577,622300357700,8
1,2,22,2201,تونة صن شاين قطع 185جم - كرتونة 24,1482.0,1200.0,24,1,00003577,622300357724,8
1,2,22,2201,تونة تونة ماكيريل 140جم,45.0,35.0,1,1,00003578,622300357800,12
1,2,22,2201,تونة تونة ماكيريل 140جم - كرتونة 6,256.5,210.0,6,1,00003578,622300357806,12
1,2,22,2201,تونة ريو ماري بزيت الزيتون 160جم,110.0,85.0,1,1,00003579,622300357900,22
1,2,22,2201,تونة ريو ماري بزيت الزيتون 160جم - كرتونة 12,1254.0,1020.0,12,1,00003579,622300357912,22
1,2,22,2201,تونة دولفين مفتتة حارة 140جم,38.0,30.0,1,1,00003580,622300358000,22
1,2,22,2201,تونة دولفين مفتتة حارة 140جم - كرتونة 6,216.6,180.0,6,1,00003580,622300358006,22
1,2,22,2203,صلصة هاينز برطمان 360جم,32.0,25.0,1,1,00003581,622300358100,27
1,2,22,2203,صلصة هاينز برطمان 360جم - كرتونة 24,729.6,600.0,24,1,00003581,622300358124,27
1,2,22,2203,صلصة فاين فودز 320جم,28.0,22.0,1,1,00003582,622300358200,3
1,2,22,2203,صلصة فاين فودز 320جم - كرتونة 12,319.2,264.0,12,1,00003582,622300358212,3
1,2,22,2203,صلصة هارفست ظرف 50جم,5.5,4.0,1,1,00003583,622300358300,32
1,2,22,2203,صلصة هارفست ظرف 50جم - كرتونة 24,125.4,96.0,24,1,00003583,622300358324,32
1,2,22,2203,صلصة روز جاردن صفيح 400جم,26.0,20.0,1,1,00003584,622300358400,17
1,2,22,2203,صلصة روز جاردن صفيح 400جم - كرتونة 24,592.8,480.0,24,1,00003584,622300358424,17
1,2,23,2302,نسكافيه كلاسيك برطمان 200جم,220.0,180.0,1,1,00003585,622300358500,21
1,2,23,2302,نسكافيه كلاسيك برطمان 200جم - كرتونة 12,2508.0,2160.0,12,1,00003585,622300358512,21
1,2,23,2302,بن عبد المعبود محوج 100جم,55.0,45.0,1,1,00003586,622300358600,1
1,2,23,2302,بن عبد المعبود محوج 100جم - كرتونة 24,1254.0,1080.0,24,1,00003586,622300358624,1
1,2,23,2302,بن أبو عوف سادة فاتح 250جم,135.0,110.0,1,1,00003587,622300358700,33
1,2,23,2302,بن أبو عوف سادة فاتح 250جم - كرتونة 6,769.5,660.0,6,1,00003587,622300358706,33
1,2,23,2302,قهوة علي كافيه 3 في 1 (20 ظرف),95.0,75.0,1,1,00003588,622300358800,30
1,2,23,2302,قهوة علي كافيه 3 في 1 (20 ظرف) - كرتونة 24,2166.0,1800.0,24,1,00003588,622300358824,30
1,2,23,2304,بيبسي كانز 330 مل,10.0,8.0,1,1,00003589,622300358900,36
1,2,23,2304,بيبسي كانز 330 مل - كرتونة 12,114.0,96.0,12,1,00003589,622300358912,36
1,2,23,2304,كوكاكولا زجاجة 1.5 لتر,23.0,18.0,1,1,00003590,622300359000,12
1,2,23,2304,كوكاكولا زجاجة 1.5 لتر - كرتونة 6,131.1,108.0,6,1,00003590,622300359006,12
1,2,23,2304,مياه صافي 1.5 لتر,7.0,5.0,1,1,00003591,622300359100,13
1,2,23,2304,مياه صافي 1.5 لتر - كرتونة 12,79.8,60.0,12,1,00003591,622300359112,13
1,2,23,2304,مياه داساني 600 مل,4.5,3.0,1,1,00003592,622300359200,14
1,2,23,2304,مياه داساني 600 مل - كرتونة 24,102.6,72.0,24,1,00003592,622300359224,14
1,2,23,2304,سبرايت زجاجة 1 لتر,18.0,14.0,1,1,00003593,622300359300,10
1,2,23,2304,سبرايت زجاجة 1 لتر - كرتونة 12,205.2,168.0,12,1,00003593,622300359312,10
1,3,31,3103,بانيه كوكي حار 1 كجم,195.0,160.0,1,1,00003594,622300359400,22
1,3,31,3103,بانيه كوكي حار 1 كجم - كرتونة 6,1111.5,960.0,6,1,00003594,622300359406,22
1,3,31,3103,ناجتس أطياب 400جم,110.0,85.0,1,1,00003595,622300359500,10
1,3,31,3103,ناجتس أطياب 400جم - كرتونة 24,2508.0,2040.0,24,1,00003595,622300359524,10
1,3,31,3103,ستربس دجاج حلواني 400جم,120.0,95.0,1,1,00003596,622300359600,32
1,3,31,3103,ستربس دجاج حلواني 400جم - كرتونة 24,2736.0,2280.0,24,1,00003596,622300359624,32
1,3,31,3103,بانيه المراعي عادي 750جم,160.0,130.0,1,1,00003597,622300359700,38
1,3,31,3103,بانيه المراعي عادي 750جم - كرتونة 6,912.0,780.0,6,1,00003597,622300359706,38
2,4,40,4001,مسحوق اريال اتوماتيك 3 كجم,245.0,210.0,1,1,00003598,622300359800,1
2,4,40,4001,مسحوق اريال اتوماتيك 3 كجم - كرتونة 12,2793.0,2520.0,12,1,00003598,622300359812,1
2,4,40,4001,مسحوق برسيل برائحة اللافندر 5 كجم,380.0,320.0,1,1,00003599,622300359900,20
2,4,40,4001,مسحوق برسيل برائحة اللافندر 5 كجم - كرتونة 6,2166.0,1920.0,6,1,00003599,622300359906,20
2,4,40,4001,مسحوق اوكسي للغسالات العادية 2.5 كجم,135.0,110.0,1,1,00003600,622300360000,5
2,4,40,4001,مسحوق اوكسي للغسالات العادية 2.5 كجم - كرتونة 24,3078.0,2640.0,24,1,00003600,622300360024,5
2,4,40,4001,تايد جل أوتوماتيك 2.8 لتر,205.0,175.0,1,1,00003601,622300360100,3
2,4,40,4001,تايد جل أوتوماتيك 2.8 لتر - كرتونة 6,1168.5,1050.0,6,1,00003601,622300360106,3
2,4,40,4002,سائل أطباق فيري ليمون 450 مل,45.0,35.0,1,1,00003602,622300360200,38
2,4,40,4002,سائل أطباق فيري ليمون 450 مل - كرتونة 12,513.0,420.0,12,1,00003602,622300360212,38
2,4,40,4002,سائل أطباق بريل تفاح 600 مل,35.0,28.0,1,1,00003603,622300360300,5
2,4,40,4002,سائل أطباق بريل تفاح 600 مل - كرتونة 6,199.5,168.0,6,1,00003603,622300360306,5
2,4,40,4002,سائل أطباق اوكسي 1 لتر,50.0,40.0,1,1,00003604,622300360400,13
2,4,40,4002,سائل أطباق اوكسي 1 لتر - كرتونة 24,1140.0,960.0,24,1,00003604,622300360424,13
2,4,40,4002,سائل أطباق لودفيك 750 مل,58.0,45.0,1,1,00003605,622300360500,31
2,4,40,4002,سائل أطباق لودفيك 750 مل - كرتونة 6,330.6,270.0,6,1,00003605,622300360506,31
2,4,41,4101,شامبو بانتين انسيابي وحرير 400 مل,85.0,65.0,1,1,00003606,622300360600,10
2,4,41,4101,شامبو بانتين انسيابي وحرير 400 مل - كرتونة 6,484.5,390.0,6,1,00003606,622300360606,10
2,4,41,4101,شامبو هيد اند شولدرز نعناع 600 مل,125.0,95.0,1,1,00003607,622300360700,5
2,4,41,4101,شامبو هيد اند شولدرز نعناع 600 مل - كرتونة 12,1425.0,1140.0,12,1,00003607,622300360712,5
2,4,41,4101,شامبو كلير للرجال 400 مل,78.0,60.0,1,1,00003608,622300360800,14
2,4,41,4101,شامبو كلير للرجال 400 مل - كرتونة 24,1778.4,1440.0,24,1,00003608,622300360824,14
2,4,41,4101,بلسم تريزيمي 500 مل,110.0,85.0,1,1,00003609,622300360900,5
2,4,41,4101,بلسم تريزيمي 500 مل - كرتونة 24,2508.0,2040.0,24,1,00003609,622300360924,5
2,4,42,4201,مناديل وايت 550 منديل (3 قطع),75.0,60.0,1,1,00003610,622300361000,6
2,4,42,4201,مناديل وايت 550 منديل (3 قطع) - كرتونة 6,427.5,360.0,6,1,00003610,622300361006,6
2,4,42,4201,مناديل زينة 500 منديل,28.0,22.0,1,1,00003611,622300361100,38
2,4,42,4201,مناديل زينة 500 منديل - كرتونة 24,638.4,528.0,24,1,00003611,622300361124,38
2,4,42,4201,مناديل فاميلي 250 منديل,16.0,12.0,1,1,00003612,622300361200,36
2,4,42,4201,مناديل فاميلي 250 منديل - كرتونة 12,182.4,144.0,12,1,00003612,622300361212,36
2,4,42,4201,مناديل بابيا 3 طبقات (4 قطع),105.0,85.0,1,1,00003613,622300361300,9
2,4,42,4201,مناديل بابيا 3 طبقات (4 قطع) - كرتونة 24,2394.0,2040.0,24,1,00003613,622300361324,9
